Issue Id,Issue Type,Summary,Description,Priority,Labels,Epic Link,Parent Id,Story Points,Sprint,Components,Acceptance Criteria
FIN-S1-001,Task,"Modelar categorias e tags de fornecedor","Criar tabelas supplier_categories, supplier_tags e supplier_tag_links com campos de auditoria.",Highest,"financeiro,mvp,sprint1,db",FIN-EPIC-01,FIN-003,3,MVP-S1,"backend,database","Tabelas criadas e acessiveis via ORM sem quebrar schema atual."
FIN-S1-002,Task,"Expandir modelo Person com dados bancarios e classificacao","Adicionar campos bancarios e referencia de categoria/tags no model de pessoas.",Highest,"financeiro,mvp,sprint1,model",FIN-EPIC-01,FIN-001,3,MVP-S1,"backend,database","Modelo atualizado e migrations aplicadas sem perda de dados existentes."
FIN-S1-003,Task,"Validacao CPF/CNPJ com unicidade","Implementar validacao de documento por tipo e bloqueio de duplicidade ativa.",Highest,"financeiro,mvp,sprint1,validacao",FIN-EPIC-01,FIN-002,2,MVP-S1,"backend","API retorna 422 com mensagem clara quando documento invalido/duplicado."
FIN-S1-004,Task,"Criar router supplier_catalog","Criar endpoints GET/POST/PATCH para categorias e tags de fornecedor.",High,"financeiro,mvp,sprint1,api",FIN-EPIC-01,FIN-003,2,MVP-S1,"backend","Endpoints respondem JSON padrao e suportam status ativo/inativo."
FIN-S1-005,Task,"Evoluir router people para categoria/tags e banco","Atualizar create/update/list em /people com novos campos e filtros.",Highest,"financeiro,mvp,sprint1,api",FIN-EPIC-01,FIN-001,3,MVP-S1,"backend","Cadastro e edicao de pessoa aceitam categoria, tags e dados bancarios."
FIN-S1-006,Task,"Modelar centros de custo","Criar tabela cost_centers com hierarquia simples (parent_id).",Highest,"financeiro,mvp,sprint1,db",FIN-EPIC-01,FIN-006,2,MVP-S1,"backend,database","Tabela criada e com seed minima de centros principais."
FIN-S1-007,Task,"Criar router de centros de custo","Implementar CRUD basico de centros de custo.",Highest,"financeiro,mvp,sprint1,api",FIN-EPIC-01,FIN-006,2,MVP-S1,"backend","Endpoints GET/POST/PATCH funcionando com validacao de codigo unico."
FIN-S1-008,Task,"Modelar contas bancarias","Criar tabela bank_accounts para multiplas contas com saldo inicial.",High,"financeiro,mvp,sprint1,db",FIN-EPIC-01,FIN-008,2,MVP-S1,"backend,database","Conta bancaria criada com status ativo e saldo inicial persistido."
FIN-S1-009,Task,"Criar router de contas bancarias","Implementar endpoints GET/POST/PATCH de contas bancarias.",High,"financeiro,mvp,sprint1,api",FIN-EPIC-01,FIN-008,2,MVP-S1,"backend","CRUD de contas bancarias sem erro 500 e com validacao minima."
FIN-S1-010,Task,"Modelar formas de pagamento","Criar tabela payment_methods com taxa e prazo.",High,"financeiro,mvp,sprint1,db",FIN-EPIC-01,FIN-009,2,MVP-S1,"backend,database","Tabela criada com tipos PIX, boleto, transferencia, dinheiro, cartao, barter."
FIN-S1-011,Task,"Criar router de formas de pagamento","Implementar endpoints GET/POST/PATCH para payment_methods.",High,"financeiro,mvp,sprint1,api",FIN-EPIC-01,FIN-009,2,MVP-S1,"backend","Cadastro de forma de pagamento com conta padrao opcional."
FIN-S1-012,Task,"Registrar novos routers no main","Incluir routers novos no app/main.py e validar startup.",High,"financeiro,mvp,sprint1,infra",FIN-EPIC-01,FIN-001,1,MVP-S1,"backend","Backend sobe e expõe os novos endpoints no OpenAPI."
FIN-S1-013,Task,"Expandir FinanceiroCadastros com novos blocos","Adicionar blocos de categorias/tags, centros, contas bancarias e formas de pagamento.",Highest,"financeiro,mvp,sprint1,frontend",FIN-EPIC-01,FIN-001,5,MVP-S1,"frontend","Tela permite CRUD completo sem sair da pagina de cadastros."
FIN-S1-014,Task,"Atualizar formulario de pessoa no frontend","Incluir campos documento tipo, banco/pix, categoria fornecedor e tags.",Highest,"financeiro,mvp,sprint1,frontend",FIN-EPIC-01,FIN-003,3,MVP-S1,"frontend","Usuario consegue cadastrar fornecedor classificado sem erro de UX."
FIN-S1-015,Task,"Ajustar estilos financeiro_cadastros","Aplicar layout responsivo e consistente com cards do sistema.",Medium,"financeiro,mvp,sprint1,frontend,ux",FIN-EPIC-01,FIN-001,2,MVP-S1,"frontend","Layout sem quebra em desktop e tablet."
FIN-S1-016,Task,"Script de verificacao automatica MVP-S1","Criar tools/verify_financeiro_mvp_s1.sh com checks de CRUD e health.",High,"financeiro,mvp,sprint1,qa",FIN-EPIC-01,FIN-001,2,MVP-S1,"backend,qa","Script retorna sucesso somente se todos endpoints base passarem."
FIN-S1-017,Task,"Roteiro de teste funcional de campo","Documentar cenarios reais (insumo, frete, salario) para validacao manual.",Medium,"financeiro,mvp,sprint1,qa,doc",FIN-EPIC-01,FIN-001,1,MVP-S1,"docs,qa","Roteiro validado com passos e resultado esperado por cenario."
