Issue Id,Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Components,Acceptance Criteria
FIN-EPIC-01,Epic,"Financeiro - Cadastros base","Base de dados e telas de cadastro para pessoas, plano de contas, centros de custo, contas bancarias e formas de pagamento.",Highest,"financeiro,mvp",Financeiro - Cadastros base,,,,MVP-S1,"frontend,backend,database","Cadastros funcionando com validacoes obrigatorias e auditoria basica."
FIN-EPIC-02,Epic,"Financeiro - Movimentacoes e liquidacao","Lancar receitas e despesas, gerar contas a pagar e receber, com workflow de aprovacao, baixa e conciliacao.",Highest,"financeiro,mvp",Financeiro - Movimentacoes e liquidacao,,,,MVP-S2,"frontend,backend,database","Fluxo completo de aberto ate pago/recebido com rastreabilidade."
FIN-EPIC-03,Epic,"Financeiro - RH e custo de pessoal","Controle de eventos de folha, encargos e beneficios com rateio por centro de custo.",High,"financeiro,should",Financeiro - RH e custo de pessoal,,,,V2-S3,"frontend,backend,database","Custo de pessoal por centro de custo e periodo disponivel para consulta."
FIN-EPIC-04,Epic,"Financeiro - Dashboard e relatorios","Visao executiva do financeiro com KPIs, DRE simplificada, aging e exportacoes.",High,"financeiro,mvp",Financeiro - Dashboard e relatorios,,,,MVP-S4,"frontend,backend,analytics","Indicadores confiaveis e exportacao CSV/XLSX/PDF por filtros."
FIN-EPIC-05,Epic,"Financeiro - Governanca e permissoes","Perfis de acesso, aprovacao por alcada, trilha de auditoria e logs de mudanca.",High,"financeiro,mvp",Financeiro - Governanca e permissoes,,,,MVP-S4,"backend,security","Perfis aplicados e logs auditaveis por tela e acao."
FIN-001,Story,"Cadastro de pessoas multi-tipo","Permitir pessoa com multi-selecao: cliente, fornecedor, transportadora, proprietario, funcionario.",Highest,"cadastro,pessoas,mvp",,,FIN-EPIC-01,5,MVP-S1,"frontend,backend","Salvar pessoa com no minimo nome, tipo, documento e status."
FIN-002,Story,"Validacao CPF/CNPJ e unicidade","Validar formato de CPF/CNPJ e impedir duplicidade por documento ativo.",Highest,"cadastro,validacao,mvp",,,FIN-EPIC-01,3,MVP-S1,"backend","Cadastro bloqueia duplicidade e exibe mensagem objetiva."
FIN-003,Story,"Fornecedor com categoria e tags de produto/servico","Adicionar categoria de fornecedor e multi-tags de produto/servico para analise de gastos.",Highest,"fornecedor,mvp",,,FIN-EPIC-01,5,MVP-S1,"frontend,backend","Fornecedor salvo com pelo menos uma categoria e tags opcionais."
FIN-004,Story,"Campos bancarios em pessoas","Guardar banco, agencia, conta, tipo de chave PIX e favorecido.",Medium,"cadastro,banking,should",,,FIN-EPIC-01,3,V2-S3,"frontend,backend","Dados bancarios opcionais por pessoa com mascaras validas."
FIN-005,Story,"Plano de contas hierarquico N1-N4","Cadastrar/importar e consultar plano de contas de 4 niveis com filtro e busca.",Highest,"plano-contas,mvp",,,FIN-EPIC-01,8,MVP-S1,"frontend,backend,database","Lancamento so aceita conta nivel 4 ativa."
FIN-006,Story,"Centros de custo e subcentros","Cadastrar centros de custo por atividade: pecuaria, agricultura, silvicultura, suporte.",Highest,"centro-custo,mvp",,,FIN-EPIC-01,5,MVP-S1,"frontend,backend","Centro de custo disponivel em lancamentos e relatorios."
FIN-007,Story,"Rateio por percentual e valor","Ratear um lancamento entre varios centros por percentual ou valor.",Highest,"rateio,mvp",,,FIN-EPIC-01,8,MVP-S2,"frontend,backend","Soma do rateio deve fechar 100% ou valor total."
FIN-008,Story,"Contas bancarias e caixas","Cadastro de multiplas contas por fazenda com saldo inicial e status.",High,"tesouraria,mvp",,,FIN-EPIC-01,5,MVP-S1,"frontend,backend","Conta bancaria pode ser usada na baixa e na conciliacao."
FIN-009,Story,"Formas de pagamento parametrizaveis","PIX, boleto, TED, dinheiro, cartao, barter com taxas e prazos.",High,"pagamento,mvp",,,FIN-EPIC-01,3,MVP-S1,"frontend,backend","Forma de pagamento ativa aparece no lancamento e na baixa."
FIN-010,Story,"Lancamento de despesa","Tela de despesa com emissao, competencia, fornecedor, conta N4, centro de custo, valor e vencimento.",Highest,"despesa,mvp",,,FIN-EPIC-02,8,MVP-S2,"frontend,backend","Nao salvar despesa sem fornecedor e conta N4."
